Symbol,Group,Family,Subfamily
SIK1B,CAMK,CAMKL,AMPK
SGK1,AGC,SGK,
BMPR1B,TKL,STKR,STKR1
CDC7,Other,CDC7,
PIK3CD,Atypical,PI3/PI4,
EEF2K,Atypical,Alpha,eEF2K
PLK4,Other,PLK,SAK
STK25,STE,STE20,YSK
NME4,Other,NDK,
CIT,AGC,DMPK,CRIK
RIOK3,Atypical,RIO,RIO3
MAP2K7,STE,STE7,MEK7
CHEK1,CAMK,CAMKL,CHK1
BCKDK,Atypical,PDHK,BCKDK
IKBKB,Other,IKK,
CASK,CAMK,CASK,
AURKA,Other,Aur,
GAK,Other,NAK,GAK
TRIM66,Atypical,TIF1,
MAST4,AGC,MAST,MAST
DCLK1,CAMK,DCAMKL,
CHUK,Other,IKK,
MUSK,TK,Musk,
TRIM24,Atypical,TIF1,
EPHB6,TK,Eph,
MAPK13,CMGC,MAPK,p38
PDPK1,Atypical,PDHK,PDHK
IRAK2,TKL,IRAK,
MAP3K13,TKL,MLK,LZK
DAPK3,CAMK,DAPK,DAPK
MAP3K7,TKL,MLK,TAK1
RIPK2,TKL,RIPK,
BUB1,Other,BUB,
DYRK3,CMGC,DYRK,DYRK2
PRKY,AGC,PKA,
KALRN,CAMK,Trio,
NUAK1,CAMK,CAMKL,NuaK
MAST3,AGC,MAST,MAST
BUB1B,Other,BUB,
JAK2,TK,Jak,
BRD4,Atypical,BRD,
FAM20B,Other,PKL,FJ
ROCK2,AGC,DMPK,ROCK
ULK1,Other,ULK,ULK
NME6,Other,NDK,
ERN1,Other,IRE,
RPS6KA5,AGC,RSK,MSK
RPS6KA4,AGC,RSK,MSK
STK16,Other,NAK,MPSK
PAK3,STE,STE20,PAKA
TRIO,CAMK,Trio,
CDKL5,CMGC,CDKL,
STK17B,CAMK,DAPK,DRAK
STK10,STE,STE20,SLK
PRKD3,CAMK,PKD,
CDK14,CMGC,CDK,PFTAIRE
MAP3K6,STE,STE11,ASK
OXSR1,STE,STE20,FRAY
MAP4K4,STE,STE20,MSN
LATS1,AGC,NDR,LATS
PAK4,STE,STE20,PAKB
CHEK2,CAMK,RAD53,
ABL1,TK,Abl,
EGFR,TK,EGFR,
MOS,Other,MOS,
RAF1,TKL,RAF,RAF
ERBB2,TK,EGFR,
NTRK1,TK,Trk,
PRKCG,AGC,PKC,PKCa
PRKCB,AGC,PKC,PKCa
INSR,TK,InsR,
LCK,TK,Src,SrcB
FYN,TK,Src,SrcA
CDK1,CMGC,CDK,CDC1
FES,TK,Fer,
CSF1R,TK,PDGFR,
YES1,TK,Src,SrcA
LYN,TK,Src,SrcB
RET,TK,Ret,
IGF1R,TK,InsR,
MET,TK,Met,
HCK,TK,Src,SrcB
ROS1,TK,Sev,
PDGFRB,TK,PDGFR,
FGR,TK,Src,SrcA
WEE2,Other,WEE,WEE1
SBK2,Other,NKF1,
SBK3,Other,NKF1,
ARAF,TKL,RAF,RAF
KIT,TK,PDGFR,
BCR,Atypical,BCR,
PIM1,CAMK,PIM,
FGFR1,TK,FGFR,
PSKH1,CAMK,PSK,
CDK4,CMGC,CDK,CDK4
SRC,TK,Src,SrcA
INSRR,TK,InsR,
BRAF,TKL,RAF,RAF
NME1,Other,NDK,
PHKG2,CAMK,PHK,
NPR1,RGC,RGC,
PDGFRA,TK,PDGFR,
FER,TK,Fer,
PRKCA,AGC,PKC,PKCa
PRKACA,AGC,PKA,
FLT1,TK,VEGFR,
EIF2AK2,Other,PEK,PKR
CSNK2A2,Other,CK2,
NPR2,RGC,RGC,
MAK,CMGC,RCK,MAK
CDK11B,CMGC,CDK,CDK11
TAF1,Atypical,TAF1,
EPHA1,TK,Eph,
FGFR2,TK,FGFR,
ERBB3,TK,EGFR,
NME2,Other,NDK,
FGFR4,TK,FGFR,
FGFR3,TK,FGFR,
PRKACG,AGC,PKA,
PRKACB,AGC,PKA,
RPS6KB1,AGC,RSK,RSKp70
JAK1,TK,Jak,
PRKCH,AGC,PKC,PKCh
CDK2,CMGC,CDK,CDK1
GUCY2C,RGC,RGC,
GRK2,AGC,GRK,BARK
BRD2,Atypical,BRD,
ACVR2A,TKL,STKR,STKR2
MAPK3,CMGC,MAPK,ERK1
MARK3,CAMK,CAMKL,MARK
MAPK1,CMGC,MAPK,ERK1
EPHA2,TK,Eph,
EPHA3,TK,Eph,
EPHA8,TK,Eph,
EPHB2,TK,Eph,
LTK,TK,ALK,
TYK2,TK,Jak,
WEE1,Other,WEE,WEE1
AXL,TK,Axl,
MAPK4,CMGC,MAPK,ERK3
AKT1,AGC,Akt,
AKT2,AGC,Akt,
GRK4,AGC,GRK,GRK
TTK,Other,TTK,
RYK,TK,Ryk,
GRK5,AGC,GRK,GRK
GTF2F1,Atypical,GTF2F1,
TIE1,TK,Tie,
GRK3,AGC,GRK,BARK
FLT4,TK,VEGFR,
KDR,TK,VEGFR,
MAP2K2,STE,STE7,MEK1
FLT3,TK,PDGFR,
BMPR1A,TKL,STKR,STKR1
ACVR1B,TKL,STKR,STKR1
TGFBR1,TKL,STKR,STKR1
ACVRL1,TKL,STKR,STKR1
TGFBR2,TKL,STKR,STKR2
CSK,TK,Csk,
MAP3K8,STE,STE-Unique,
PRKCI,AGC,PKC,PKCi
PIK3CA,Atypical,PI3/PI4,
PIK3CB,Atypical,PI3/PI4,
MTOR,Atypical,PIKK,FRAP
MATK,TK,Csk,
TEC,TK,Tec,
TXK,TK,Tec,
ABL2,TK,Abl,
FRK,TK,Src,Frk
GRK6,AGC,GRK,GRK
ZAP70,TK,Syk,
SYK,TK,Syk,
MAPK8,CMGC,MAPK,JNK
MAPK9,CMGC,MAPK,JNK
MAP2K4,STE,STE7,MEK4
MAP2K3,STE,STE7,MEK3
CSNK1A1,CK1,CK1,CK1-A
CSNK1D,CK1,CK1,CK1-D
PIK3CG,Atypical,PI3/PI4,
MAPKAPK2,CAMK,MAPKAPK,MK2
CDK8,CMGC,CDK,CDK8
CSNK1E,CK1,CK1,CK1-D
CLK1,CMGC,CLK,
CLK2,CMGC,CLK,
CLK3,CMGC,CLK,
GSK3A,CMGC,GSK,GSK
GSK3B,CMGC,GSK,GSK
STK19,Atypical,STK19,
