Entry	Gene Names	Mouse_Symbol
Q3UHJ0	Aak1 Kiaa1048	Aak1
A0A0N4SVA1	Aak1	Aak1
A0A571BEI2	Aak1	Aak1
A0A571BDM4	Aak1	Aak1
Q80YE4	Aatk Aatyk Kiaa0641 Lmr1 Lmtk1	Aatk
B1AZF3	Aatk	Aatk
B1AZF9	Aatk	Aatk
A0A668KLB8	Aatk	Aatk
A0A668KLA4	Aatk	Aatk
P00520	Abl1 Abl	Abl1
Q3SYK5	Abl1	Abl1
Q3V2W1	Abl1	Abl1
Q3TM13	Abl1	Abl1
A0A0A6YVY6	Abl1	Abl1
A2AV23	Abl1	Abl1
A0A0A6YY65	Abl1	Abl1
Q61262	Abl1	Abl1
A0A0A6YXS9	Abl1	Abl1
Q8CAT4	Abl1	Abl1
Q4JIM5	Abl2 Arg	Abl2
B2RQ57	Abl2	Abl2
F8VQH0	Abl2	Abl2
B7ZMZ2	Abl2	Abl2
Q99P28	Abl2 Arg	Abl2
A0A087WQB7	Abl2	Abl2
G3UWQ2	Abl2	Abl2
Q61055	Abl2 arg	Abl2
Q5SSL4	Abr	Abr
A0A571BG95	Abr	Abr
A0A2X0U2A7	Abr ABR	Abr
E9PUE7	Abr	Abr
H3BKV6	Abr	Abr
H3BJY3	Abr	Abr
H3BL84	Abr	Abr
H3BKT3	Abr	Abr
P37172	Acvr1 Acvrlk2 Tgfb1	Acvr1
Q8C7A7	Acvr1	Acvr1
B1AW87	Acvr1	Acvr1
Q61271	Acvr1b Alk4	Acvr1b
Q3TZF1	Acvr1b	Acvr1b
Q8K348	Acvr1c Alk7	Acvr1c
A2AJR5	Acvr1c	Acvr1c
B7ZNG1	Acvr1c	Acvr1c
Q3V348	Acvr1c	Acvr1c
A2AJR6	Acvr1c	Acvr1c
D3Z1K2	Acvr1c	Acvr1c
P27038	Acvr2a Acvr2	Acvr2a
A2AI38	Acvr2a	Acvr2a
Q8BRV4	Acvr2a Acvr2	Acvr2a
P27040	Acvr2b	Acvr2b
Q61288	Acvrl1 Acvrlk1 Alk-1	Acvrl1
Q91YV1	Acvrl1	Acvrl1
Q9CU19	Acvrl1	Acvrl1
D3YUY5	Acvrl1	Acvrl1
D3Z7H9	Acvrl1	Acvrl1
Q9D0L4	Adck1	Adck1
Q6NSR3	Adck2	Adck2
A0A0R4J1X6	Adck2	Adck2
E9QL72	Adck2	Adck2
F6QFE9	Adck2	Adck2
A0A0J9YUF3	Adck2	Adck2
Q80V03	Adck5	Adck5
E0CXE8	Adck5	Adck5
E0CXW2	Adck5	Adck5
E9PUK2	Adck5	Adck5
P55264	Adk	Adk
A0A286YCN3	Adk	Adk
Q8BMC5	Adk	Adk
Q8BWS6	Adk	Adk
A0A286YCD7	Adk	Adk
Q3TZR1	Adk	Adk
A0A286YD38	Adk	Adk
Q9ESW4	Agk Mulk	Agk
A0A0J9YU24	Agk	Agk
P31750	Akt1 Akt Rac	Akt1
D3Z783	Akt1	Akt1
Q8BS26	Akt1	Akt1
A4FUQ9	Akt1	Akt1
D3YYP9	Akt1	Akt1
Q64164	Akt1 LTR-akt	Akt1
X2CUM2	Akt1	Akt1
D3YXX3	Akt1	Akt1
Q60823	Akt2	Akt2
Q3TY95	Akt2	Akt2
F8WHG5	Akt2	Akt2
Q8CE74	Akt2	Akt2
D3Z3N2	Akt2	Akt2
D3Z0M3	Akt2	Akt2
D3Z490	Akt2	Akt2
D3YXM7	Akt2	Akt2
D3YZJ5	Akt2	Akt2
D3Z5X2	Akt2	Akt2
Q9WUA6	Akt3	Akt3
Q6NXW0	Akt3	Akt3
Q8C6X4	Akt3	Akt3
P97793	Alk	Alk
Q9CXB8	Alpk1 Kiaa1527	Alpk1
E9QNX4	Alpk1	Alpk1
