"HGNC_join","external_gene_name","ensembl_gene_id","description","Group name","Protein","Metabolic","Lipid","HGNC_ID","HGNC_gene_name","Manning_Group","Manning_Family","Manning_Subfamily","Group","Family","SubFamily","ensembl"
"AAK1","AAK1","ENSG00000115977","AP2 associated kinase 1",NA,"N","N","N","HGNC:19679","AAK1","Other","NAK",NA,NA,NA,NA,NA
"AATK","AATK","ENSG00000181409","apoptosis associated tyrosine kinase","Receptor tyrosine kinases","Y","N","N","HGNC:21","AATK",NA,NA,NA,NA,NA,NA,NA
"ABL1","ABL1","ENSG00000097007","ABL proto-oncogene 1, non-receptor tyrosine kinase","Abl family tyrosine kinases","Y","N","N","HGNC:76","ABL1","TK","Abl",NA,"TK","Abl",NA,"ENSG00000097007"
"ABL2","ABL2","ENSG00000143322","ABL proto-oncogene 2, non-receptor tyrosine kinase","Abl family tyrosine kinases","Y","N","N","HGNC:77","ABL2","TK","Abl",NA,NA,NA,NA,NA
"ABR","ABR","ENSG00000159842","ABR activator of RhoGEF and GTPase",NA,"N","N","N","HGNC:81","ABR",NA,NA,NA,NA,NA,NA,NA
"ACVR1","ACVR1","ENSG00000115170","activin A receptor type 1","Type 1 receptor serine/threonine kinases","Y","N","N","HGNC:171","ACVR1",NA,NA,NA,"TKL","STKR","STKR1","ENSG00000115170"
"ACVR1B","ACVR1B","ENSG00000135503","activin A receptor type 1B","Type 1 receptor serine/threonine kinases","Y","N","N","HGNC:172","ACVR1B",NA,NA,NA,"TKL","STKR","STKR1","ENSG00000135503"
"ACVR1C","ACVR1C","ENSG00000123612","activin A receptor type 1C","Type 1 receptor serine/threonine kinases","Y","N","N","HGNC:18123","ACVR1C",NA,NA,NA,NA,NA,NA,NA
"ACVR2A","ACVR2A","ENSG00000121989","activin A receptor type 2A","Type 2 receptor serine/threonine kinases","Y","N","N","HGNC:173","ACVR2A",NA,NA,NA,"TKL","STKR","STKR2","ENSG00000121989"
"ACVR2B","ACVR2B","ENSG00000114739","activin A receptor type 2B","Type 2 receptor serine/threonine kinases","Y","N","N","HGNC:174","ACVR2B",NA,NA,NA,"TKL","STKR","STKR2","ENSG00000114739"
"ACVRL1","ACVRL1","ENSG00000139567","activin A receptor like type 1","Type 1 receptor serine/threonine kinases","Y","N","N","HGNC:175","ACVRL1",NA,NA,NA,"TKL","STKR","STKR1","ENSG00000139567"
"ADCK1","ADCK1","ENSG00000063761","aarF domain containing kinase 1",NA,"N","N","N","HGNC:19038","ADCK1","Atypical","ABC1","ABC1-B",NA,NA,NA,NA
"ADCK2","ADCK2","ENSG00000133597","aarF domain containing kinase 2",NA,"N","N","N","HGNC:19039","ADCK2","Atypical","ABC1","ABC1-C",NA,NA,NA,NA
"ADCK5","ADCK5","ENSG00000173137","aarF domain containing kinase 5",NA,"N","N","N","HGNC:21738","ADCK5","Atypical","ABC1","ABC1-B",NA,NA,NA,NA
"ADK","ADK","ENSG00000156110","adenosine kinase",NA,"N","Y","N","HGNC:257","ADK",NA,NA,NA,NA,NA,NA,NA
