MGI symbol	Gene stable ID	UniProtKB/Swiss-Prot ID	MGI ID	Gene name	Gene description
mt-Nd1	ENSMUSG00000064341	P03888	MGI:101787	mt-Nd1	mitochondrially encoded NADH dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:101787]
mt-Nd2	ENSMUSG00000064345	P03893	MGI:102500	mt-Nd2	mitochondrially encoded NADH dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:102500]
mt-Co1	ENSMUSG00000064351	P00397	MGI:102504	mt-Co1	mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:102504]
mt-Co2	ENSMUSG00000064354	P00405	MGI:102503	mt-Co2	mitochondrially encoded cytochrome c oxidase II [Source:MGI Symbol;Acc:MGI:102503]
mt-Atp8	ENSMUSG00000064356	P03930	MGI:99926	mt-Atp8	mitochondrially encoded ATP synthase 8 [Source:MGI Symbol;Acc:MGI:99926]
mt-Atp6	ENSMUSG00000064357	P00848	MGI:99927	mt-Atp6	mitochondrially encoded ATP synthase 6 [Source:MGI Symbol;Acc:MGI:99927]
mt-Co3	ENSMUSG00000064358	P00416	MGI:102502	mt-Co3	mitochondrially encoded cytochrome c oxidase III [Source:MGI Symbol;Acc:MGI:102502]
mt-Nd3	ENSMUSG00000064360	P03899	MGI:102499	mt-Nd3	mitochondrially encoded NADH dehydrogenase 3 [Source:MGI Symbol;Acc:MGI:102499]
mt-Nd4l	ENSMUSG00000065947	P03903	MGI:102497	mt-Nd4l	mitochondrially encoded NADH dehydrogenase 4L [Source:MGI Symbol;Acc:MGI:102497]
mt-Nd4	ENSMUSG00000064363	P03911	MGI:102498	mt-Nd4	mitochondrially encoded NADH dehydrogenase 4 [Source:MGI Symbol;Acc:MGI:102498]
mt-Nd5	ENSMUSG00000064367	P03921	MGI:102496	mt-Nd5	mitochondrially encoded NADH dehydrogenase 5 [Source:MGI Symbol;Acc:MGI:102496]
mt-Nd6	ENSMUSG00000064368	P03925	MGI:102495	mt-Nd6	mitochondrially encoded NADH dehydrogenase 6 [Source:MGI Symbol;Acc:MGI:102495]
mt-Cytb	ENSMUSG00000064370	P00158	MGI:102501	mt-Cytb	mitochondrially encoded cytochrome b [Source:MGI Symbol;Acc:MGI:102501]
	ENSMUSG00000095019				
	ENSMUSG00000096776			Vmn1r186	vomeronasal 1 receptor Vmn1r186 [Source:NCBI gene (formerly Entrezgene);Acc:100039479]
	ENSMUSG00000095250				
	ENSMUSG00000094915				
	ENSMUSG00000094303				
	ENSMUSG00000079800				
	ENSMUSG00000094741				
	ENSMUSG00000094836				
	ENSMUSG00000079222				
	ENSMUSG00000096244				vomeronasal 1 receptor Vmn1r187 [Source:NCBI gene (formerly Entrezgene);Acc:100039499]
	ENSMUSG00000094722				
	ENSMUSG00000095666				
	ENSMUSG00000095787				
	ENSMUSG00000074720				
	ENSMUSG00000095092				
	ENSMUSG00000096236				
	ENSMUSG00000096100				
	ENSMUSG00000094874				
	ENSMUSG00000095041				
	ENSMUSG00000096680				
	ENSMUSG00000079192				
	ENSMUSG00000095672				
	ENSMUSG00000095500				
	ENSMUSG00000095505				
	ENSMUSG00000094383				
	ENSMUSG00000079794				
	ENSMUSG00000096756				
	ENSMUSG00000094337				
	ENSMUSG00000095450				
	ENSMUSG00000079190				
	ENSMUSG00000094728				
	ENSMUSG00000094799				
	ENSMUSG00000079808				
	ENSMUSG00000094474				
	ENSMUSG00000095570				
	ENSMUSG00000062783			Csprs	component of Sp100-rs [Source:NCBI gene (formerly Entrezgene);Acc:114564]
	ENSMUSG00000094791				
	ENSMUSG00000094514				
	ENSMUSG00000096728				
	ENSMUSG00000096808				
	ENSMUSG00000096550			Gm16367	predicted gene 16367 [Source:NCBI gene (formerly Entrezgene);Acc:545762]
	ENSMUSG00000094172				
	ENSMUSG00000094887				
	ENSMUSG00000091585				
	ENSMUSG00000095763				
	ENSMUSG00000095523				
	ENSMUSG00000095475				
	ENSMUSG00000094855				
Gm20816	ENSMUSG00000095634		MGI:5434172	Gm20816	predicted gene, 20816 [Source:MGI Symbol;Acc:MGI:5434172]
Gm20817	ENSMUSG00000100032		MGI:5434173	Gm20817	predicted gene, 20817 [Source:MGI Symbol;Acc:MGI:5434173]
Gm20870	ENSMUSG00000100535		MGI:5434226	Gm20870	predicted gene, 20870 [Source:MGI Symbol;Acc:MGI:5434226]
Gm20903	ENSMUSG00000099782		MGI:5434259	Gm20903	predicted gene, 20903 [Source:MGI Symbol;Acc:MGI:5434259]
Gm20905	ENSMUSG00000101157		MGI:5434261	Gm20905	predicted gene, 20905 [Source:MGI Symbol;Acc:MGI:5434261]
Gm20738	ENSMUSG00000094575		MGI:5434094	Gm20738	predicted gene, 20738 [Source:MGI Symbol;Acc:MGI:5434094]
Gm20814	ENSMUSG00000101146		MGI:5434170	Gm20814	predicted gene, 20814 [Source:MGI Symbol;Acc:MGI:5434170]
Gm20850	ENSMUSG00000100902		MGI:5434206	Gm20850	predicted gene, 20850 [Source:MGI Symbol;Acc:MGI:5434206]
