Mouse_Symbol,Human_Symbol_Manning,Human_Symbol_KinHub,Human_Symbol_Coral,Human_Symbol_Legacy,Description,Group,Family,Subfamily,UniProt_Human,MGI_Mouse,Entrez_Mouse,Source,Date,UniProt_Mouse_biomart,UniProt_Mouse_UniProtAPI,biomart_source,uniprotapi_source
Aak1,AAK1,AAK1,AAK1,AAK1,AP2-associated protein kinase 1,Other,NAK,"",Q2M2I8,MGI:1098687,269774,KinHub,10/6/2020,Q3UHJ0;,Q3UHJ0;A0A0N4SVA1;A0A571BEI2;A0A571BDM4,biomart,uniprot_api
Aatk,LMR1,LMR1,AATK,LMR1,Serine/threonine-protein kinase LMTK1,TK,Lmr,"",Q6ZMQ8,MGI:1197518,11302,KinHub,10/6/2020,"",Q80YE4;B1AZF3;B1AZF9;A0A668KLB8;A0A668KLA4,,uniprot_api
Abl1,ABL1,ABL,ABL1,ABL1,Tyrosine-protein kinase ABL1,TK,Abl,"",P00519,MGI:87859,11350,KinHub,10/6/2020,P00520;,P00520;Q3SYK5;Q3V2W1;Q3TM13;A0A0A6YVY6;A2AV23;A0A0A6YY65;Q61262;A0A0A6YXS9;Q8CAT4,biomart,uniprot_api
Abl2,ABL2,ARG,ABL2,ABL2,Abelson tyrosine-protein kinase 2,TK,Abl,"",P42684,MGI:87860,11352,KinHub,10/6/2020,"",Q4JIM5;B2RQ57;F8VQH0;B7ZMZ2;Q99P28;A0A087WQB7;G3UWQ2;Q61055,,uniprot_api
Abr,ABR,ABR,ABR,"",Active breakpoint cluster region-related protein,Atypical,BCR,"",Q12979,MGI:107771,109934,KinHub,10/6/2020,Q5SSL4;,Q5SSL4;A0A571BG95;A0A2X0U2A7;E9PUE7;H3BKV6;H3BJY3;H3BL84;H3BKT3,biomart,uniprot_api
Acvr1,ALK2,ALK2,ACVR1,ALK2,Activin receptor type-1,TKL,STKR,STKR1,Q04771,MGI:87911,11477,KinHub,10/6/2020,P37172;,P37172;Q8C7A7;B1AW87,biomart,uniprot_api
Acvr1b,ALK4,ALK4,ACVR1B,ALK4,Activin receptor type-1B,TKL,STKR,STKR1,P36896,MGI:1338944,11479,KinHub,10/6/2020,Q61271,Q61271;Q3TZF1,biomart,uniprot_api
Acvr1c,ALK7,ALK7,ACVR1C,ALK7,Activin receptor type-1C,TKL,STKR,STKR1,Q8NER5,MGI:2661081,269275,KinHub,10/6/2020,Q8K348;,Q8K348;A2AJR5;B7ZNG1;Q3V348;A2AJR6;D3Z1K2,biomart,uniprot_api
Acvr2a,ACTR2,ACTR2,ACVR2A,ACTR2,Activin receptor type-2A,TKL,STKR,STKR2,P27037,MGI:102806,11480,KinHub,10/6/2020,P27038,P27038;A2AI38;Q8BRV4,biomart,uniprot_api
Acvr2b,ACTR2B,ACTR2B,ACVR2B,ACTR2B,Activin receptor type-2B,TKL,STKR,STKR2,Q13705,MGI:87912,11481,KinHub,10/6/2020,P27040,P27040,biomart,uniprot_api
Acvrl1,ALK1,ALK1,ACVRL1,ALK1,Serine/threonine-protein kinase receptor R3,TKL,STKR,STKR1,P37023,MGI:1338946,11482,KinHub,10/6/2020,Q61288;,Q61288;Q91YV1;Q9CU19;D3YUY5;D3Z7H9,biomart,uniprot_api
Adck1,ADCK1,ADCK1,ADCK1,ADCK1,Uncharacterized aarF domain-containing protein kinase 1,Atypical,ABC1,ABC1-B,Q86TW2,MGI:1919363,72113,KinHub,10/6/2020,Q9D0L4,Q9D0L4,biomart,uniprot_api
Adck2,ADCK2,ADCK2,ADCK2,ADCK2,Uncharacterized aarF domain-containing protein kinase 2,Atypical,ABC1,ABC1-C,Q7Z695,MGI:1889336,57869,KinHub,10/6/2020,"",Q6NSR3;A0A0R4J1X6;E9QL72;F6QFE9;A0A0J9YUF3,,uniprot_api
Adck5,ADCK5,ADCK5,ADCK5,ADCK5,Uncharacterized aarF domain-containing protein kinase 5,Atypical,ABC1,ABC1-D,Q3MIX3,MGI:2679274,268822,KinHub,10/6/2020,"",Q80V03;E0CXE8;E0CXW2;E9PUK2,,uniprot_api
Adk,"","",ADK,"",adenosine kinase,Metabolic,"","","",MGI:87930,11534,MGI,10/6/2020,P55264;,P55264;A0A286YCN3;Q8BMC5;Q8BWS6;A0A286YCD7;Q3TZR1;A0A286YD38,biomart,uniprot_api
Agk,"","",AGK,"",acylglycerol kinase,Metabolic,"","","",MGI:1917173,69923,MGI,10/6/2020,Q9ESW4;,Q9ESW4;A0A0J9YU24,biomart,uniprot_api
Akt1,AKT1,AKT1,AKT1,AKT1,RAC-alpha serine/threonine-protein kinase,AGC,Akt,"",P31749,MGI:87986,11651,KinHub,10/6/2020,P31750;,P31750;D3Z783;Q8BS26;A4FUQ9;D3YYP9;Q64164;X2CUM2;D3YXX3,biomart,uniprot_api
Akt2,AKT2,AKT2,AKT2,AKT2,RAC-beta serine/threonine-protein kinase,AGC,Akt,"",P31751,MGI:104874,11652,KinHub,10/6/2020,Q60823;,Q60823;Q3TY95;F8WHG5;Q8CE74;D3Z3N2;D3Z0M3;D3Z490;D3YXM7;D3YZJ5;D3Z5X2,biomart,uniprot_api
Akt3,AKT3,AKT3,AKT3,AKT3,RAC-gamma serine/threonine-protein kinase,AGC,Akt,"",Q9Y243,MGI:1345147,23797,KinHub,10/6/2020,Q9WUA6,Q9WUA6;Q6NXW0;Q8C6X4,biomart,uniprot_api
Alk,ALK,ALK,ALK,ALK,ALK tyrosine kinase receptor,TK,ALK,"",Q9UM73,MGI:103305,11682,KinHub,10/6/2020,P97793,P97793,biomart,uniprot_api
Alpk1,AlphaK3,AlphaK3,ALPK1,AlphaK3,Alpha-protein kinase 1,Atypical,Alpha,"",Q96QP1,MGI:1918731,71481,KinHub,10/6/2020,"",Q9CXB8;E9QNX4;F6V0L2;I3PQW7,,uniprot_api
Alpk2,AlphaK2,AlphaK2,ALPK2,AlphaK2,Alpha-protein kinase 2,Atypical,Alpha,"",Q86TB3,MGI:2449492,225638,KinHub,10/6/2020,;Q91ZB0,Q91ZB0;A0A494BAB8;Q3U323,biomart,uniprot_api
Alpk3,AlphaK1,AlphaK1,ALPK3,AlphaK1,Alpha-protein kinase 3,Atypical,Alpha,"",Q96L96,MGI:2151224,116904,KinHub,10/6/2020,Q924C5,Q924C5,biomart,uniprot_api
Amhr2,MISR2,MISR2,AMHR2,MISR2,Anti-Muellerian hormone type-2 receptor,TKL,STKR,STKR2,Q16671,MGI:105062,110542,KinHub,10/6/2020,Q8K592;,Q8K592;A0A2R8W6H9;F6V9X7;A0A2R8VHE2;R4JNM3;R4JKA2,biomart,uniprot_api
Ankk1,SgK288,SgK288,ANKK1,SgK288,Ankyrin repeat and protein kinase domain-containing protein 1,TKL,RIPK,"",Q8NFD2,MGI:3045301,244859,KinHub,10/6/2020,Q8BZ25;,Q8BZ25;A0A1L1SS17;B7ZN83,biomart,uniprot_api
Araf,ARAF,ARAF,ARAF,ARAF,Serine/threonine-protein kinase A-Raf,TKL,RAF,"",P10398,MGI:88065,11836,KinHub,10/6/2020,;P04627,P04627;E9Q0P8;B1AUN8;Q3TQI2;Q3UXR0;B1AUP0;Q8CAD1;Q66JX2,biomart,uniprot_api
Atm,ATM,ATM,ATM,ATM,Serine-protein kinase ATM,Atypical,PIKK,ATM,Q13315,MGI:107202,11920,KinHub,10/6/2020,;Q62388,Q62388;Q6NX74;B9EHX4;F6UXV2;D3Z0Q2;Q3UT15,biomart,uniprot_api
