kinase_id,HGNC_symbol,HGNC_ID,Name_hgnc,Is_phosphatase,Is_kinase_regulator,Is_anchoring_protein,Is_pseudokinase,Substrate_protein,Substrate_lipid,Substrate_nucleotide,Substrate_carbohydrate,Substrate_other,Group_hgnc,Group_ID_hgnc,Status_hgnc,Locus_type_hgnc,kinase_id_manning,manning_name,Group_manning,Family_manning,SubFamily_manning,Pseudogene_manning,Novelty_manning,InManning,Group_kinhub,Family_kinhub,SubFamily_kinhub,UniProt_kinhub,InKinHub,Group_match_manning_kinhub,Family_match_manning_kinhub,Group_consensus,Family_consensus,Metabolic_kegg,Lipid_kegg,Mouse_Symbol,Ensembl_Mouse
K0001,AATK,HGNC:21,apoptosis associated tyrosine kinase,N,N,N,N,Y,N,N,N,N,Receptor tyrosine kinases,321,Approved,gene with protein product,SK413,,TK,Lmr,"",N,Known - Literature,Y,TK,Lmr,"",Q6ZMQ8,Y,TRUE,TRUE,TK,Lmr,N,N,Aatk,ENSMUSG00000025375
K0002,ABL1,HGNC:76,"ABL proto-oncogene 1, non-receptor tyrosine kinase",N,N,N,N,Y,N,N,N,N,Abl family tyrosine kinases,1463,Approved,gene with protein product,SK006,,TK,Abl,"",N,Known - Refseq,Y,TK,Abl,"",P00519,Y,TRUE,TRUE,TK,Abl,N,N,Abl1,ENSMUSG00000026842
K0003,ABL2,HGNC:77,"ABL proto-oncogene 2, non-receptor tyrosine kinase",N,N,N,N,Y,N,N,N,N,Abl family tyrosine kinases,1463,Approved,gene with protein product,SK037,,TK,Abl,"",N,Known - Literature,Y,TK,Abl,"",P42684,Y,TRUE,TRUE,TK,Abl,N,N,Abl2,ENSMUSG00000026596
K0004,ACBD3,HGNC:15453,acyl-CoA binding domain containing 3,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Acbd3,ENSMUSG00000026499
K0005,ACVR1,HGNC:171,activin A receptor type 1,N,N,N,N,Y,N,N,N,N,Type 1 receptor serine/threonine kinases,345,Approved,gene with protein product,SK026,,TKL,STKR,Type1,N,Known - Literature,Y,TKL,STKR,STKR1,Q04771,Y,TRUE,TRUE,TKL,STKR,N,N,Acvr1,ENSMUSG00000026836
K0006,ACVR1B,HGNC:172,activin A receptor type 1B,N,N,N,N,Y,N,N,N,N,Type 1 receptor serine/threonine kinases,345,Approved,gene with protein product,SK028,,TKL,STKR,Type1,N,Known - Literature,Y,TKL,STKR,STKR1,P36896,Y,TRUE,TRUE,TKL,STKR,N,N,Acvr1b,ENSMUSG00000000532
K0007,ACVR1C,HGNC:18123,activin A receptor type 1C,N,N,N,N,Y,N,N,N,N,Type 1 receptor serine/threonine kinases,345,Approved,gene with protein product,SK405,,TKL,STKR,Type1,N,Novel? - annotated as similar to another ALK,Y,TKL,STKR,STKR1,Q8NER5,Y,TRUE,TRUE,TKL,STKR,N,N,Acvr1c,ENSMUSG00000026834
K0008,ACVR2A,HGNC:173,activin A receptor type 2A,N,N,N,N,Y,N,N,N,N,Type 2 receptor serine/threonine kinases,346,Approved,gene with protein product,SK010,,TKL,STKR,Type2,N,Known - Literature,Y,TKL,STKR,STKR2,P27037,Y,TRUE,TRUE,TKL,STKR,N,N,Acvr2a,ENSMUSG00000052155
K0009,ACVR2B,HGNC:174,activin A receptor type 2B,N,N,N,N,Y,N,N,N,N,Type 2 receptor serine/threonine kinases,346,Approved,gene with protein product,SK011,,TKL,STKR,Type2,N,Known - Literature,Y,TKL,STKR,STKR2,Q13705,Y,TRUE,TRUE,TKL,STKR,N,N,Acvr2b,ENSMUSG00000061393
K0010,ACVRL1,HGNC:175,activin A receptor like type 1,N,N,N,N,Y,N,N,N,N,Type 1 receptor serine/threonine kinases,345,Approved,gene with protein product,SK025,,TKL,STKR,Type1,N,Known - Literature,Y,TKL,STKR,STKR1,P37023,Y,TRUE,TRUE,TKL,STKR,N,N,Acvrl1,ENSMUSG00000000530
K0011,AK1,HGNC:361,adenylate kinase 1,N,N,N,N,N,N,Y,N,N,Adenylate kinases,356,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Adenylate kinases,Adenylate kinases,Y,N,Ak1,ENSMUSG00000026817
K0012,AK2,HGNC:362,adenylate kinase 2,N,N,N,N,N,N,Y,N,N,Adenylate kinases,356,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Adenylate kinases,Adenylate kinases,Y,N,Ak2,ENSMUSG00000028792
K0013,AK3,HGNC:17376,adenylate kinase 3,N,N,N,N,N,N,Y,N,N,Adenylate kinases,356,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Adenylate kinases,Adenylate kinases,Y,N,Ak3,ENSMUSG00000024782
K0014,AK4,HGNC:363,adenylate kinase 4,N,N,N,N,N,N,Y,N,N,Adenylate kinases,356,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Adenylate kinases,Adenylate kinases,Y,N,Ak4,ENSMUSG00000028527
K0015,AK5,HGNC:365,adenylate kinase 5,N,N,N,N,N,N,Y,N,N,Adenylate kinases,356,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Adenylate kinases,Adenylate kinases,Y,N,Ak5,ENSMUSG00000039058
K0016,AK6,HGNC:49151,adenylate kinase 6,N,N,N,N,N,N,Y,N,N,Adenylate kinases,356,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Adenylate kinases,Adenylate kinases,Y,N,,
K0017,AK7,HGNC:20091,adenylate kinase 7,N,N,N,N,N,N,Y,N,N,Adenylate kinases,356,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Adenylate kinases,Adenylate kinases,Y,N,Ak7,ENSMUSG00000041323
K0018,AK8,HGNC:26526,adenylate kinase 8,N,N,N,N,N,N,Y,N,N,Adenylate kinases,356,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Adenylate kinases,Adenylate kinases,Y,N,Ak8,ENSMUSG00000026807
K0019,AK9,HGNC:33814,adenylate kinase 9,N,N,N,N,N,N,Y,N,N,Adenylate kinases,356,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Adenylate kinases,Adenylate kinases,Y,N,Ak9,ENSMUSG00000091415
K0020,AKAP1,HGNC:367,A-kinase anchoring protein 1,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Akap1,ENSMUSG00000018428
