ensembl_gene_id,external_gene_name,description,hgnc_symbol,hgnc_id,go_id
ENSG00000115977,AAK1,AP2 associated kinase 1,AAK1,19679,GO:0000166;GO:0004672;GO:0004674;GO:0005112;GO:0005515;GO:0005524;GO:0005829;GO:0005886;GO:0005905;GO:0006468;GO:0006897;GO:0016020;GO:0016301;GO:0016740;GO:0030136;GO:0031252;GO:0032880;GO:0035612;GO:0042995;GO:0043195;GO:0045202;GO:0045747;GO:0050821;GO:0061024;GO:0098793;GO:0106310;GO:0140238;GO:2000369
ENSG00000181409,AATK,apoptosis associated tyrosine kinase,AATK,21,GO:0000166;GO:0004672;GO:0004674;GO:0004713;GO:0005515;GO:0005524;GO:0005737;GO:0006468;GO:0007420;GO:0012505;GO:0016020;GO:0016301;GO:0016740;GO:0046872;GO:0048471;GO:0051402;GO:0106310
ENSG00000097007,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL1,76,GO:0000166;GO:0000278;GO:0000287;GO:0000400;GO:0000405;GO:0001726;GO:0001784;GO:0001843;GO:0001922;GO:0002252;GO:0002322;GO:0002333;GO:0002429;GO:0003677;GO:0003713;GO:0003785;GO:0004515;GO:0004672;GO:0004674;GO:0004713;GO:0004715;GO:0005080;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005730;GO:0005737;GO:0005739;GO:0005829;GO:0005856;GO:0005886;GO:0006281;GO:0006298;GO:0006355;GO:0006468;GO:0006897;GO:0006909;GO:0006914;GO:0006915;GO:0006974;GO:0006979;GO:0007155;GO:0007173;GO:0007204;GO:0007229;GO:0007249;GO:0007611;GO:0008047;GO:0008306;GO:0008630;GO:0009410;GO:0009791;GO:0010468;GO:0010506;GO:0010557;GO:0010595;GO:0014069;GO:0015629;GO:0016020;GO:0016301;GO:0016604;GO:0016740;GO:0019899;GO:0019901;GO:0019904;GO:0019905;GO:0021587;GO:0022408;GO:0030035;GO:0030036;GO:0030041;GO:0030100;GO:0030145;GO:0030155;GO:0030182;GO:0030425;GO:0030426;GO:0030509;GO:0030514;GO:0030516;GO:0030845;GO:0031113;GO:0031252;GO:0031965;GO:0032489;GO:0032729;GO:0032743;GO:0032956;GO:0032991;GO:0033554;GO:0033690;GO:0034446;GO:0034599;GO:0034976;GO:0035556;GO:0035791;GO:0036211;GO:0038096;GO:0038189;GO:0038191;GO:0042100;GO:0042127;GO:0042169;GO:0042770;GO:0043025;GO:0043065;GO:0043123;GO:0043525;GO:0043539;GO:0043542;GO:0045580;GO:0045595;GO:0045785;GO:0045907;GO:0045930;GO:0045931;GO:0045944;GO:0046632;GO:0046872;GO:0046875;GO:0048008;GO:0048013;GO:0048146;GO:0048471;GO:0048536;GO:0048538;GO:0050798;GO:0050852;GO:0050853;GO:0050885;GO:0051015;GO:0051019;GO:0051281;GO:0051402;GO:0051444;GO:0051450;GO:0051496;GO:0051649;GO:0051726;GO:0051882;GO:0051894;GO:0060020;GO:0060038;GO:0060563;GO:0070064;GO:0070097;GO:0070301;GO:0070371;GO:0070373;GO:0070374;GO:0071103;GO:0071222;GO:0071560;GO:0071871;GO:0072359;GO:0090050;GO:0090398;GO:0097706;GO:0098609;GO:0098794;GO:0098978;GO:0099150;GO:0141214;GO:1900006;GO:1900026;GO:1900272;GO:1901701;GO:1902036;GO:1902531;GO:1903053;GO:1903055;GO:1903210;GO:1903351;GO:1903905;GO:1904157;GO:1904518;GO:1905244;GO:1905555;GO:1990837;GO:2000042;GO:2000096;GO:2000145;GO:2000352;GO:2000406;GO:2000772;GO:2000773
ENSG00000143322,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",ABL2,77,GO:0000166;GO:0000287;GO:0001784;GO:0003785;GO:0004672;GO:0004713;GO:0004715;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0005856;GO:0005886;GO:0006468;GO:0007155;GO:0007165;GO:0007173;GO:0007200;GO:0007204;GO:0008047;GO:0010506;GO:0010976;GO:0015629;GO:0016301;GO:0016740;GO:0018108;GO:0019899;GO:0030100;GO:0030145;GO:0030155;GO:0032956;GO:0034599;GO:0035024;GO:0035640;GO:0036211;GO:0046872;GO:0051015;GO:0071300;GO:1903905;GO:2000145;GO:2000406
ENSG00000159842,ABR,ABR activator of RhoGEF and GTPase,ABR,81,GO:0004674;GO:0005085;GO:0005096;GO:0006468;GO:0007165;GO:0007264;GO:0030424;GO:0035556;GO:0042995;GO:0043197;GO:0043547;GO:0045202
ENSG00000115170,ACVR1,activin A receptor type 1,ACVR1,171,GO:0000166;GO:0001569;GO:0001649;GO:0001701;GO:0001702;GO:0001707;GO:0001755;GO:0002526;GO:0003143;GO:0003181;GO:0003183;GO:0003272;GO:0003274;GO:0003289;GO:0004672;GO:0004674;GO:0004675;GO:0005025;GO:0005515;GO:0005524;GO:0005886;GO:0006468;GO:0007178;GO:0007179;GO:0007281;GO:0007368;GO:0007369;GO:0007498;GO:0007507;GO:0009953;GO:0009968;GO:0016020;GO:0016301;GO:0016361;GO:0016740;GO:0017046;GO:0019838;GO:0030154;GO:0030278;GO:0030335;GO:0030501;GO:0030509;GO:0032924;GO:0032926;GO:0042803;GO:0045177;GO:0045296;GO:0045446;GO:0045597;GO:0045669;GO:0045893;GO:0045944;GO:0046332;GO:0046872;GO:0048179;GO:0048185;GO:0050431;GO:0051145;GO:0051239;GO:0051240;GO:0060037;GO:0060391;GO:0060412;GO:0060562;GO:0060923;GO:0061445;GO:0062043;GO:0070724;GO:0071363;GO:0071773;GO:0072359;GO:0098821;GO:1902533;GO:1990782;GO:2000017;GO:2000026;GO:2000134;GO:2001237
ENSG00000135503,ACVR1B,activin A receptor type 1B,ACVR1B,172,GO:0000082;GO:0000166;GO:0001701;GO:0001942;GO:0004672;GO:0004674;GO:0004675;GO:0005515;GO:0005524;GO:0005886;GO:0006355;GO:0006468;GO:0007165;GO:0007178;GO:0007399;GO:0009966;GO:0009986;GO:0010468;GO:0010628;GO:0010629;GO:0016020;GO:0016301;GO:0016361;GO:0016740;GO:0017002;GO:0018107;GO:0019838;GO:0030279;GO:0030308;GO:0030334;GO:0031625;GO:0032924;GO:0032927;GO:0034711;GO:0038092;GO:0043235;GO:0045596;GO:0045648;GO:0046332;GO:0046777;GO:0046872;GO:0048179;GO:0048185;GO:0051239;GO:0070411;GO:0071363;GO:0097191;GO:1901165;GO:1902554
ENSG00000123612,ACVR1C,activin A receptor type 1C,ACVR1C,18123,GO:0000166;GO:0001834;GO:0002021;GO:0004672;GO:0004674;GO:0004675;GO:0005524;GO:0005886;GO:0006468;GO:0006915;GO:0007178;GO:0007399;GO:0009749;GO:0016020;GO:0016301;GO:0016361;GO:0016740;GO:0017002;GO:0019838;GO:0019915;GO:0030073;GO:0030154;GO:0030262;GO:0030334;GO:0032868;GO:0032924;GO:0038092;GO:0038100;GO:0043065;GO:0046676;GO:0046872;GO:0048179;GO:0051239;GO:0071363;GO:0097190;GO:0141091;GO:1901164;GO:1901383;GO:1902554
ENSG00000121989,ACVR2A,activin A receptor type 2A,ACVR2A,173,GO:0000166;GO:0001649;GO:0001702;GO:0001934;GO:0004672;GO:0004674;GO:0004675;GO:0005515;GO:0005524;GO:0005737;GO:0005886;GO:0006468;GO:0007178;GO:0007283;GO:0007368;GO:0007389;GO:0007498;GO:0008584;GO:0009952;GO:0009966;GO:0009986;GO:0015026;GO:0016020;GO:0016301;GO:0016361;GO:0016362;GO:0016740;GO:0017002;GO:0019838;GO:0030165;GO:0030279;GO:0030501;GO:0030509;GO:0032502;GO:0032924;GO:0032927;GO:0034673;GO:0034711;GO:0042475;GO:0042713;GO:0042802;GO:0043084;GO:0043235;GO:0045428;GO:0045648;GO:0045669;GO:0045944;GO:0046872;GO:0048179;GO:0048185;GO:0048706;GO:0060011;GO:0060391;GO:0071363;GO:0071773;GO:0098821
ENSG00000114739,ACVR2B,activin A receptor type 2B,ACVR2B,174,GO:0000122;GO:0000166;GO:0001501;GO:0001702;GO:0001822;GO:0001946;GO:0001974;GO:0004672;GO:0004674;GO:0004675;GO:0004712;GO:0005515;GO:0005524;GO:0005737;GO:0005886;GO:0006355;GO:0006468;GO:0006879;GO:0007165;GO:0007178;GO:0007368;GO:0007389;GO:0007498;GO:0007507;GO:0009749;GO:0009791;GO:0009952;GO:0009966;GO:0016020;GO:0016301;GO:0016362;GO:0016740;GO:0017002;GO:0019209;GO:0019838;GO:0030073;GO:0030279;GO:0030324;GO:0030501;GO:0030509;GO:0031016;GO:0032502;GO:0032924;GO:0032927;GO:0032991;GO:0035265;GO:0042475;GO:0043235;GO:0045669;GO:0046872;GO:0048179;GO:0048185;GO:0048617;GO:0048705;GO:0060021;GO:0060836;GO:0060840;GO:0060841;GO:0061298;GO:0061450;GO:0071363;GO:0120163;GO:1904178
