"ensembl_gene_id","external_gene_name","description","Group name","Protein","Metabolic","Lipid","HGNC_ID","HGNC_gene_name","Manning_Group","Manning_Family","Manning_Subfamily","HGNC","Group","Family","SubFamily","kin_group","kh_group"
"ENSG00000115977","AAK1","AP2 associated kinase 1",NA,"N","N","N","HGNC:19679","AAK1","Other","NAK",NA,"AAK1","Other",NA,NA,"Other","Other"
"ENSG00000181409","AATK","apoptosis associated tyrosine kinase","Receptor tyrosine kinases","Y","N","N","HGNC:21","AATK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000097007","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","Abl family tyrosine kinases","Y","N","N","HGNC:76","ABL1","TK","Abl",NA,"ABL1","TK",NA,NA,"TK","TK"
"ENSG00000143322","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase","Abl family tyrosine kinases","Y","N","N","HGNC:77","ABL2","TK","Abl",NA,"ABL2","TK",NA,NA,"TK","TK"
"ENSG00000159842","ABR","ABR activator of RhoGEF and GTPase",NA,"N","N","N","HGNC:81","ABR",NA,NA,NA,"ABR","Atypical",NA,NA,NA,"Atypical"
"ENSG00000115170","ACVR1","activin A receptor type 1","Type 1 receptor serine/threonine kinases","Y","N","N","HGNC:171","ACVR1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000135503","ACVR1B","activin A receptor type 1B","Type 1 receptor serine/threonine kinases","Y","N","N","HGNC:172","ACVR1B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000123612","ACVR1C","activin A receptor type 1C","Type 1 receptor serine/threonine kinases","Y","N","N","HGNC:18123","ACVR1C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000121989","ACVR2A","activin A receptor type 2A","Type 2 receptor serine/threonine kinases","Y","N","N","HGNC:173","ACVR2A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000114739","ACVR2B","activin A receptor type 2B","Type 2 receptor serine/threonine kinases","Y","N","N","HGNC:174","ACVR2B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000139567","ACVRL1","activin A receptor like type 1","Type 1 receptor serine/threonine kinases","Y","N","N","HGNC:175","ACVRL1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000063761","ADCK1","aarF domain containing kinase 1",NA,"N","N","N","HGNC:19038","ADCK1","Atypical","ABC1","ABC1-B","ADCK1","Atypical",NA,NA,"Atypical","Atypical"
"ENSG00000133597","ADCK2","aarF domain containing kinase 2",NA,"N","N","N","HGNC:19039","ADCK2","Atypical","ABC1","ABC1-C","ADCK2","Atypical",NA,NA,"Atypical","Atypical"
"ENSG00000173137","ADCK5","aarF domain containing kinase 5",NA,"N","N","N","HGNC:21738","ADCK5","Atypical","ABC1","ABC1-B","ADCK5","Atypical",NA,NA,"Atypical","Atypical"
"ENSG00000156110","ADK","adenosine kinase",NA,"N","Y","N","HGNC:257","ADK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000159322","ADPGK","ADP dependent glucokinase",NA,"N","N","N","HGNC:25250","ADPGK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000006530","AGK","acylglycerol kinase",NA,"N","Y","Y","HGNC:21869","AGK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000106992","AK1","adenylate kinase 1","Adenylate kinases","Y","Y","N","HGNC:361","AK1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000004455","AK2","adenylate kinase 2","Adenylate kinases","Y","Y","N","HGNC:362","AK2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000147853","AK3","adenylate kinase 3","Adenylate kinases","Y","Y","N","HGNC:17376","AK3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000162433","AK4","adenylate kinase 4","Adenylate kinases","Y","Y","N","HGNC:363","AK4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000233381","AK4P3","adenylate kinase 4 pseudogene 3",NA,"N","N","N","HGNC:21596","AK4P3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000154027","AK5","adenylate kinase 5","Adenylate kinases","Y","Y","N","HGNC:365","AK5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000085231","AK6","adenylate kinase 6","Adenylate kinases","Y","Y","N","HGNC:49151","AK6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000140057","AK7","adenylate kinase 7","Adenylate kinases","Y","Y","N","HGNC:20091","AK7",NA,NA,NA,NA,NA,NA,NA,NA,NA
