HGNC,Group,Family,SubFamily,ensembl
AAK1,Other,,,ENSG00000115977
ABL1,TK,,,ENSG00000097007
ABL2,TK,,,ENSG00000143322
ABR,Atypical,,,ENSG00000159842
ACK,TK,,,
ACTR2,TKL,,,ENSG00000138071
ACTR2B,TKL,,,
ADCK1,Atypical,,,ENSG00000063761
ADCK2,Atypical,,,ENSG00000133597
ADCK3,Atypical,,,
ADCK4,Atypical,,,
ADCK5,Atypical,,,ENSG00000173137
AKT1,AGC,,,ENSG00000142208
AKT2,AGC,,,ENSG00000105221
AKT3,AGC,,,ENSG00000117020
ALK,TK,,,ENSG00000171094
ALK1,TKL,,,
ALK2,TKL,,,
ALK4,TKL,,,
ALK7,TKL,,,
ALPHAK1,Atypical,,,
ALPHAK2,Atypical,,,
ALPHAK3,Atypical,,,
AMPKA1,CAMK,,,
AMPKA2,CAMK,,,
ANKRD3,TKL,,,
ANPA,RGC,,,
ANPB,RGC,,,
ARAF,TKL,,,ENSG00000078061
ATM,Atypical,,,ENSG00000149311
ATR,Atypical,,,ENSG00000175054
AURA,Other,,,
AURB,Other,,,
AURC,Other,,,
AXL,TK,,,ENSG00000167601
BARK1,AGC,,,
BARK2,AGC,,,
BAZ1A,Atypical,,,ENSG00000198604
BAZ1B,Atypical,,,ENSG00000009954
BCKDK,Atypical,,,ENSG00000103507
BCR,Atypical,,,ENSG00000186716
BIKE,Other,,,
BLK,TK,,,ENSG00000136573
BLVRA,Atypical,,,ENSG00000106605
BMPR1A,TKL,,,ENSG00000107779
BMPR1B,TKL,,,ENSG00000138696
BMPR2,TKL,,,ENSG00000204217
BMX,TK,,,ENSG00000102010
BRAF,TKL,,,ENSG00000157764
BRD2,Atypical,,,ENSG00000204256
BRD3,Atypical,,,ENSG00000169925
BRD4,Atypical,,,ENSG00000141867
BRDT,Atypical,,,ENSG00000137948
BRK,TK,,,
BRSK1,CAMK,,,ENSG00000160469
BRSK2,CAMK,,,ENSG00000174672
BTK,TK,,,ENSG00000010671
BUB1,Other,,,ENSG00000169679
BUBR1,Other,,,
CAMK1A,CAMK,,,
CAMK1B,CAMK,,,
CAMK1D,CAMK,,,ENSG00000183049
CAMK1G,CAMK,,,ENSG00000008118
CAMK2A,CAMK,,,ENSG00000070808
CAMK2B,CAMK,,,ENSG00000058404
CAMK2D,CAMK,,,ENSG00000145349
CAMK2G,CAMK,,,ENSG00000148660
CAMK4,CAMK,,,ENSG00000152495
CAMKK1,Other,,,ENSG00000004660
CAMKK2,Other,,,ENSG00000110931
CAMLCK,CAMK,,,
CASK,CAMK,,,ENSG00000147044
CCK4,TK,,,
CCRK,CMGC,,,
CDC2,CMGC,,,
CDC7,Other,,,ENSG00000097046
CDK10,CMGC,,,ENSG00000185324
CDK11,CMGC,,,
CDK2,CMGC,,,ENSG00000123374
CDK3,CMGC,,,ENSG00000250506
CDK4,CMGC,,,ENSG00000135446
CDK5,CMGC,,,ENSG00000164885
CDK6,CMGC,,,ENSG00000105810
CDK7,CMGC,,,ENSG00000134058
CDK8,CMGC,,,ENSG00000132964
CDK9,CMGC,,,ENSG00000136807
CDKL1,CMGC,,,ENSG00000100490
CDKL2,CMGC,,,ENSG00000138769
CDKL3,CMGC,,,ENSG00000006837
